,sub_id,Group,hemi,area,linear_fit,slope,y_shift
784,sub-CC01126XX13,2nd,L,ventral,0.008049650007878273,-1.480974732189362,77.80552631495456
785,sub-CC00999XX27,2nd,L,ventral,7.215170525920467e-05,-0.14140693645993893,91.33685011396373
786,sub-CC01155XX09,2nd,L,ventral,0.002169459755964165,-0.6690870844667027,58.27650185423152
787,sub-CC01165XX11,2nd,L,ventral,0.006218125936197305,-1.261093748932188,64.52551143020428
788,sub-CC01041XX11,2nd,L,ventral,0.008907706470375865,-1.3610161422389369,61.99616071602619
789,sub-CC01158XX12,2nd,L,ventral,0.005037948934162539,-1.1284375970189997,83.11972253517482
790,sub-CC00876XX19,2nd,L,ventral,0.023100243881620908,-2.574714125364402,106.39800639469682
791,sub-CC00922XX15,2nd,L,ventral,0.02951181058330188,-2.3192742012161403,58.123455329500665
792,sub-CC01147XX18,2nd,L,ventral,0.1486515142495386,-6.982969162982903,113.99517954146665
793,sub-CC01068XX13,2nd,L,ventral,0.01872075762069736,-2.3250372519164175,88.65421916992089
794,sub-CC01173XX11,2nd,L,ventral,0.029922513162226383,-2.661334753523528,76.51495529931074
795,sub-CC00990XX18,2nd,L,ventral,0.10526604216655167,-5.4134788491636705,94.26731137505197
796,sub-CC01110XX05,2nd,L,ventral,0.03643623914001748,-2.8024316974964685,76.26404664649976
797,sub-CC01070XX07,2nd,L,ventral,0.02605839634217344,-1.7122751426938667,47.14682803005705
798,sub-CC01171XX09,2nd,L,ventral,0.06258889827247305,-4.126422073963427,99.77254060574595
799,sub-CC00904XX13,2nd,L,ventral,0.00580656491838949,-1.006727425515032,44.457039316561456
800,sub-CC00980XX16,2nd,L,ventral,0.1074446755283629,-5.376760367449725,80.6714192901818
801,sub-CC00923XX16,2nd,L,ventral,0.15688169131312502,-6.872932043411136,100.7251531958473
802,sub-CC01089XX18,2nd,L,ventral,0.014530312148410829,-1.7787578321560076,68.05307535651876
803,sub-CC01213XX09,2nd,L,ventral,0.022098580813759483,-1.264574531714535,25.725559928936722
804,sub-CC01250XX05,2nd,L,ventral,0.0011311460611801438,0.4073847162053458,27.49231215565161
805,sub-CC01076XX13,2nd,L,ventral,0.0028338272577993484,-0.672684358600822,38.83289886474687
806,sub-CC01125XX12,2nd,L,ventral,0.15616200595702512,-5.528676125964455,106.5172839966655
807,sub-CC01240XX12,2nd,L,ventral,0.048243234714414496,-3.413846888982333,85.9854827972678
808,sub-CC01226XX14,2nd,L,ventral,0.049868073323282136,-3.700612537456962,94.31812366717838
809,sub-CC01179XX17,2nd,L,ventral,0.02815994361018659,-2.9321861218105902,75.62570261209437
810,sub-CC00880XX15,2nd,L,ventral,0.014376972587928916,-1.4600575137031253,56.3127002530824
811,sub-CC01086XX15,2nd,L,ventral,7.798309276807469e-05,0.13043200979119532,48.57699485006087
812,sub-CC01048XX18,2nd,L,ventral,0.020458607089832048,-2.4532361074433555,69.6826926129467
813,sub-CC01167XX13,2nd,L,ventral,0.011635384045716735,-0.90289627164359,33.6035155559103
814,sub-CC01114XX09,2nd,L,ventral,0.010276759542742875,-1.712664846488951,61.4511971093476
815,sub-CC01124XX11,2nd,L,ventral,0.05111710266560221,-3.2614495664199334,64.65001695908725
816,sub-CC01120XX07,2nd,L,ventral,0.15136299309765266,-6.31592699686948,109.47658899399896
817,sub-CC01140XX11,2nd,L,ventral,0.023738681239788062,-2.793803250802372,82.81074020704361
818,sub-CC00873XX16,2nd,L,ventral,0.009861585278718277,-1.7223631325967665,82.88435011288763
819,sub-CC01127XX14,2nd,L,ventral,0.014635191337036169,-1.7631075104875586,74.09043681621532
820,sub-CC00935XX20,2nd,L,ventral,0.06440148539666402,-3.80719995699934,74.4173214433111
821,sub-CC00993XX21,2nd,L,ventral,0.012367770890572838,1.3200878805758243,27.450149142403284
